name,base_status,base_obj,base_time,q_status,q_obj,q_time
QSCTAP2.QPS,optimal,1735.02649783,2.778,optimal,1735.02651353,2.772
QSCTAP3.QPS,optimal,1438.75468737,0.035,optimal,1438.75476608,0.031
QSEBA.QPS,numerical_error,0,0.33,numerical_error,0,0.329
QSHARE1B.QPS,numerical_error,0,0.03,numerical_error,0,0.031
QSHARE2B.QPS,optimal,11703.6917227,0.005,optimal,11703.6917219,0.005
QSHELL.QPS,numerical_error,49562289580,1.439,numerical_error,49562289580,1.441
QSHIP04L.QPS,numerical_error,173.530333601,2.99,numerical_error,173.530333601,2.99
QSHIP04S.QPS,numerical_error,15249.5020022,0.929,numerical_error,15249.5020022,0.923
QSHIP08L.QPS,numerical_error,1696.51231886,0.759,numerical_error,1696.51231886,0.735
QSHIP08S.QPS,numerical_error,35582.6965831,1.935,numerical_error,35582.6965831,1.943
QSHIP12L.QPS,numerical_error,3713.37359554,1.167,numerical_error,3713.37359554,1.258
QSHIP12S.QPS,numerical_error,24925.4011798,3.502,numerical_error,24925.4011798,3.479
QSIERRA.QPS,optimal,23750458.182,0.079,optimal,23750458.309,0.086
QSTAIR.QPS,optimal,7985452.75629,0.048,optimal,7985452.75629,0.046
QSTANDAT.QPS,optimal,6411.83868426,0.476,optimal,6411.83868426,0.474
S268.QPS,optimal,4.13092493545e-09,0.003,optimal,7.0776877692e-09,0.002
STADAT1.QPS,optimal,-28526743.8285,0.076,optimal,-28526864.1303,0.113
STADAT2.QPS,optimal,-32.6266648617,0.036,optimal,-32.6266646399,0.07
STADAT3.QPS,optimal,-35.7794529372,0.075,optimal,-35.7794528662,0.144
STCQP1.QPS,optimal,155143.554709,0.027,optimal,155143.55475,0.028
STCQP2.QPS,optimal,22327.3135284,0.031,optimal,22327.3132807,0.032
TAME.QPS,optimal,0,0.003,optimal,0,0.002
UBH1.QPS,optimal,1.12700460787,0.588,optimal,1.12675670456,0.581
VALUES.QPS,feasible,8817.34096875,15.115,feasible,8817.34096875,15.138
YAO.QPS,optimal,197.70022563,3.339,optimal,197.70022563,3.337
ZECEVIC2.QPS,optimal,-4.12499999984,0.003,optimal,-4.12499999984,0.002
