name,rows,cols,integers,nnz,igaos_status,igaos_obj,highs_status,highs_obj,rel_diff,igaos_time,highs_time,verdict
sched_l_0,2200,1968,1024,8314,optimal,2951031.86127,optimal,2951031.86126966,1.1534890224011383e-13,76.5938,4.967194557189941,agree
sched_l_1,2200,1968,1024,8314,optimal,2199847.59957,optimal,2199847.5995747685,2.167590798272653e-12,30.489,4.878044605255127,agree
sched_l_2,2200,1968,1024,8314,feasible,2134268.92783,optimal,2134268.927828793,,900.6643,14.55016016960144,status differs
sched_m_0,972,924,432,3138,optimal,1757345.41792,optimal,1757345.4179235473,2.018616051183533e-12,1.9805,1.7523629665374756,agree
sched_m_1,972,924,432,3138,optimal,1950659.13937,optimal,1950659.1393698936,5.45474847218589e-14,1.9284,1.36195969581604,agree
sched_m_2,972,924,432,3138,optimal,747840.807696,optimal,747840.807695996,5.292724880292856e-15,11.6823,2.658083438873291,agree
sched_s_0,440,424,192,1339,optimal,1022791.71813,optimal,1022791.7181315175,1.48365714099557e-12,0.0447,0.1712656021118164,agree
sched_s_1,440,424,192,1339,optimal,620971.668786,optimal,620971.6687860766,1.233569295599901e-13,0.0236,0.08216166496276855,agree
sched_s_2,440,424,192,1339,optimal,436897.145951,optimal,436897.14595055394,1.02093659520904e-12,2.4542,3.1385512351989746,agree
