name,rows,cols,integers,igaos_status,igaos_obj,igaos_time,cplex_status,cplex_obj,cplex_time,gurobi_status,gurobi_obj,gurobi_time,verdict
sched_m_0,972,924,432,optimal,1757345.41792,1.8679583072662354,integer optimal solution,1757345.4179235478,0.08129453659057617,optimal,1757345.4179235476,0.1473252773284912,agree cplex; agree gurobi
sched_m_1,972,924,432,optimal,1950659.13937,1.9096148014068604,integer optimal solution,1950659.139369906,0.13565397262573242,optimal,1950659.1393699069,0.22682619094848633,agree cplex; agree gurobi
sched_m_2,972,924,432,optimal,747840.807696,10.084769487380981,integer optimal solution,747840.8076960067,0.5422604084014893,optimal,747840.8076960079,0.3076028823852539,agree cplex; agree gurobi
sched_s_0,440,424,192,optimal,1022791.71813,0.05079293251037598,integer optimal solution,1022791.7181315178,0.022234201431274414,optimal,1022791.7181315179,0.02038264274597168,agree cplex; agree gurobi
sched_s_1,440,424,192,optimal,620971.668786,0.026882171630859375,integer optimal solution,620971.6687860768,0.019408226013183594,optimal,620971.6687860761,0.040602922439575195,agree cplex; agree gurobi
sched_s_2,440,424,192,optimal,436897.145951,2.5003979206085205,integer optimal solution,436897.14595055376,0.11770129203796387,optimal,436897.14441805054,0.12295174598693848,agree cplex; agree gurobi
