name,status,objective,reference,rel_diff,iterations,time,primal_infeas,verdict
pds-10,optimal,26727094976.0,26727094976.0,0.0,42546.0,52.1607,1.006e-07,match
pds-20,time_limit,23821688060.3,23821658640.0,1.2350231544583176e-06,175359.0,300.1054,1.01e-07,not solved
perold,optimal,-9380.75527808,-9380.755278,8.527098778151135e-12,8903.0,0.4599,3.98e-08,match
pilot,optimal,-557.489729287,-557.4897293,2.327701929796092e-11,71336.0,18.4754,7.283e-08,match
pilot.ja,optimal,-6113.13646558,-6113.136466,6.869328287662551e-11,5173.0,10.701,1.932e-08,match
pilot.we,optimal,-2720107.53287,-2720107.533,4.7792060986956284e-11,12204.0,0.8266,3.301e-06,match
pilot4,optimal,-2581.13925888,-2581.13926,4.337488672018324e-10,4011.0,0.1489,6.168e-08,match
pilot87,optimal,301.710871647,301.7103473,1.7321740225585627e-06,37452.0,52.959,6.157e-09,OBJECTIVE MISMATCH
pilotnov,optimal,-4497.27618822,-4497.276188,4.89077132442093e-11,6690.0,0.4609,2.164e-09,match
qap12,time_limit,526.799428757,522.8943506,0.007453942102119576,117009.0,300.0114,1.347e-08,not solved
qap15,time_limit,0.000236854881555,1040.994041,0.9990400743041471,20302.0,302.0214,1.0,not solved
qap8,optimal,203.5,203.5,0.0,9932.0,1.3712,2.486e-14,match
recipe,optimal,-266.616,-266.616,0.0,54.0,0.0005,0.0,match
sc105,optimal,-52.2020612117,-52.20206121,3.1953685221051796e-11,68.0,0.0006,1.137e-13,match
sc205,optimal,-52.2020612117,-52.20206121,3.1953685221051796e-11,162.0,0.0023,8.527e-13,match
sc50a,optimal,-64.5750770586,-64.57507706,2.1349522194870916e-11,25.0,0.0003,8.527e-14,match
sc50b,optimal,-70.0,-70.0,0.0,25.0,0.0002,1.137e-13,match
scagr25,optimal,-14753433.0608,-14753433.06,5.422457156487261e-11,873.0,0.0134,1.091e-11,match
scagr7,optimal,-2331389.82433,-2331389.824,1.415464885077439e-10,176.0,0.0013,1.819e-12,match
scfxm1,optimal,18416.7590283,18416.75903,9.230232776600226e-11,589.0,0.0092,1.819e-12,match
scfxm2,optimal,36660.261565,36660.26156,1.3638378713443215e-10,1654.0,0.0423,3.638e-12,match
scfxm3,optimal,54901.2545498,54901.25455,3.642732863710054e-12,2511.0,0.0942,4.69e-12,match
scorpion,optimal,1878.12482274,1878.124823,1.3836239246657418e-10,335.0,0.0045,4.163e-16,match
scrs8,optimal,904.296953801,904.2969538,1.1045982430426406e-12,1209.0,0.025,2.842e-14,match
scsd1,optimal,8.66666667433,8.666666674,3.413784195264399e-11,205.0,0.0024,0.0,match
scsd6,optimal,50.5000000783,50.50000008,3.3009745910188167e-11,724.0,0.0119,2.22e-16,match
scsd8,optimal,904.999999925,904.9999999,2.7593778136223162e-11,2423.0,0.0794,1.776e-15,match
sctap1,optimal,1412.25,1412.25,0.0,452.0,0.0057,7.105e-15,match
sctap2,optimal,1724.80714286,1724.807143,8.112139543158647e-11,1298.0,0.0424,7.105e-15,match
sctap3,optimal,1424.0,1424.0,0.0,1579.0,0.0667,3.553e-15,match
seba,optimal,15711.6,15711.6,0.0,352.0,0.0147,0.0,match
share1b,optimal,-76589.3185792,-76589.31858,1.0445263924043806e-11,327.0,0.0035,2.281e-10,match
share2b,optimal,-415.732240741,-415.7322407,9.838456723927673e-11,129.0,0.0015,2.274e-13,match
shell,optimal,1208825346.0,1208825346.0,0.0,977.0,0.0174,0.0,match
ship04l,optimal,1793324.53797,1793324.538,1.6728694801064862e-11,565.0,0.0092,1.732e-14,match
ship04s,optimal,1798714.70045,1798714.7,2.50178465703258e-10,468.0,0.0059,5.773e-14,match
ship08l,optimal,1909055.21139,1909055.211,2.0428951931195415e-10,957.0,0.023,1.776e-14,match
ship08s,optimal,1920098.21053,1920098.211,2.447789420614399e-10,855.0,0.0163,1.504e-14,match
ship12l,optimal,1470187.91933,1470187.919,2.2446091613191647e-10,1812.0,0.0692,4.041e-14,match
ship12s,optimal,1489236.13441,1489236.134,2.753086482688193e-10,1436.0,0.0363,1.771e-14,match
sierra,optimal,15394362.1836,15394362.18,2.338517956478986e-10,1103.0,0.0373,4.121e-13,match
stair,optimal,-251.266951193,-251.2669512,2.7748314958880762e-11,543.0,0.0169,1.038e-11,match
standata,optimal,1257.6995,1257.6995,0.0,140.0,0.0023,2.665e-14,match
standgub,optimal,1257.6995,1257.6995,0.0,140.0,0.0024,2.665e-14,match
standmps,optimal,1406.0175,1406.0175,0.0,2731.0,0.035,5.849e-13,match
stocfor1,optimal,-41131.9762194,-41131.97622,1.4586770709936434e-11,94.0,0.0008,1.819e-12,match
stocfor2,optimal,-39024.4085379,-39024.40854,5.3810946281594895e-11,2150.0,0.1291,2.728e-12,match
stocfor3,optimal,-39976.7839436,-39976.78394,9.004997159794233e-11,17501.0,12.5427,1.364e-12,match
truss,optimal,458815.847186,458815.8472,3.0513243515408024e-11,18032.0,2.3522,1.137e-13,match
tuff,optimal,0.292147765094,0.292147765,7.274707817252165e-11,674.0,0.0167,1.364e-12,match
vtp.base,optimal,129831.462461,129831.4625,3.0038705747433264e-10,436.0,0.0045,4.616e-11,match
wood1p,optimal,1.44290241157,1.442902412,1.7602014450766342e-10,531.0,0.0475,1.547e-13,match
woodw,optimal,1.30447633308,1.304476333,3.471504804524702e-11,1818.0,0.1099,8.527e-14,match
