name,rows,cols,quad_nnz,igaos_status,igaos_obj,igaos_pinf,osqp_status,osqp_obj,osqp_violation,rel_diff,igaos_time,osqp_time,verdict
GOULDQP2,349,699,1045,optimal,0.000184274503366,3.136e-15,optimal,0.0001842745033468935,3.383512048316106e-08,1.910299521999507e-14,0.0035,0.08545923233032227,agree
GOULDQP3,349,699,2092,optimal,2.06278397149,2.728e-14,optimal,2.062783971479803,3.3861802251067274e-15,3.329381546831822e-12,0.0025,0.0012295246124267578,agree
HS118,17,15,15,optimal,664.820451074,0.0,optimal,664.82045,4.882017555630476e-21,1.6130473268230493e-09,0.0001,0.00035190582275390625,agree
HS21,1,2,2,optimal,-99.96,0.0,optimal,-99.96,4.440892098500626e-16,0.0,0.0001,4.9114227294921875e-05,agree
HS268,5,5,25,optimal,4.13092493545e-09,0.0,optimal,1.7280399333685637e-10,0.0,3.958120941429164e-09,0.0001,0.00018215179443359375,agree
HS35,1,3,7,optimal,0.111111111321,0.0,optimal,0.11111111111111249,0.0,1.8889875913474772e-10,0.0001,5.173683166503906e-05,agree
HS35MOD,1,3,7,optimal,0.250000011689,0.0,optimal,0.25,0.0,9.351199992124747e-09,0.0001,8.320808410644531e-05,agree
HS51,3,5,9,optimal,0.0,0.0,optimal,0.0,4.440892098500626e-16,0.0,0.0,9.083747863769531e-05,agree
HS52,3,5,9,optimal,5.32664756447,5.967e-16,optimal,5.326647564469914,9.71445146547012e-17,1.3617529004578053e-14,0.0001,5.14984130859375e-05,agree
HS53,3,5,9,optimal,4.09302325581,1.421e-14,optimal,4.093023255813954,1.1102230246251565e-16,7.762152158980185e-13,0.0001,6.389617919921875e-05,agree
HS76,3,4,8,optimal,-4.68181818172,0.0,optimal,-4.681818181818182,0.0,1.7280015640608325e-11,0.0001,6.842613220214844e-05,agree
HUES-MOD,2,10000,10000,iteration_limit,0.0,1835.0,primal infeasible,,,,1.973,0.056055307388305664,status differs (iteration_limit / primal infeasible)
HUESTIS,2,10000,10000,iteration_limit,0.0,1835.0,primal infeasible,,,,1.873,0.017888545989990234,status differs (iteration_limit / primal infeasible)
KSIP,1001,20,20,optimal,0.575797941265,0.0,optimal,0.5757979412401069,3.3306690738754696e-16,1.5797131687865856e-11,0.0701,3.57218337059021,agree
LASER,1000,1002,5460,optimal,2409601.3456,0.0,optimal,2409601.3455967964,8.526512829121202e-14,1.3295760864989364e-12,0.0088,0.005282402038574219,agree
LISWET1,10000,10002,10002,optimal,36.1224020157,2.22e-16,run time limit reached,,,,0.3438,19.99191951751709,status differs (optimal / run time limit reached)
LISWET10,10000,10002,10002,optimal,49.4857622189,2.531e-14,run time limit reached,,,,0.3054,19.994542837142944,status differs (optimal / run time limit reached)
LISWET11,10000,10002,10002,optimal,49.5239509401,2.021e-14,run time limit reached,,,,0.3174,19.993077754974365,status differs (optimal / run time limit reached)
LISWET12,10000,10002,10002,optimal,1736.92729436,2.337e-14,run time limit reached,,,,0.1602,19.99335551261902,status differs (optimal / run time limit reached)
LISWET2,10000,10002,10002,optimal,24.9980761012,7.994e-15,run time limit reached,,,,0.0887,19.994430541992188,status differs (optimal / run time limit reached)
LISWET3,10000,10002,10002,optimal,25.0012200003,0.0,run time limit reached,,,,0.0715,19.99346899986267,status differs (optimal / run time limit reached)
LISWET4,10000,10002,10002,optimal,25.0001120865,2.823e-15,run time limit reached,,,,0.0872,19.993550300598145,status differs (optimal / run time limit reached)
LISWET5,10000,10002,10002,optimal,25.0342534017,1.554e-14,run time limit reached,,,,0.106,19.989617586135864,status differs (optimal / run time limit reached)
LISWET6,10000,10002,10002,optimal,24.9957475571,7.216e-16,run time limit reached,,,,0.086,19.99358820915222,status differs (optimal / run time limit reached)
LISWET7,10000,10002,10002,optimal,498.840893,1.11e-16,run time limit reached,,,,0.1065,19.993351697921753,status differs (optimal / run time limit reached)
LISWET8,10000,10002,10002,optimal,714.46967477,6.561e-14,run time limit reached,,,,0.1947,19.993043184280396,status differs (optimal / run time limit reached)
LISWET9,10000,10002,10002,optimal,1963.25118215,1.699e-14,run time limit reached,,,,0.1863,19.994256734848022,status differs (optimal / run time limit reached)
LOTSCHD,7,12,6,optimal,2398.41589147,3.855e-13,optimal,2398.415891448896,2.842170943040401e-14,8.795438562839287e-12,0.0002,0.00015282630920410156,agree
MOSARQP1,700,2500,2590,optimal,-952.875443031,0.0,optimal,-952.8754430312605,2.220446049250313e-16,2.730508968681843e-13,0.0115,0.12745904922485352,agree
MOSARQP2,600,900,990,optimal,-1597.48109359,0.0,optimal,-1597.4821175234272,3.3306690738754696e-16,6.405660820051803e-07,0.0066,0.018606901168823242,agree
