name,rows,cols,quad_nnz,igaos_status,igaos_obj,igaos_pinf,osqp_status,osqp_obj,osqp_violation,rel_diff,igaos_time,osqp_time,verdict
qrto_l_0,1510,3305,2701,optimal,-487.615235636,8.771e-14,optimal,-487.6152357322097,3.622102504898929e-15,1.9690279033374593e-10,0.0376,0.034365177154541016,agree
qrto_l_1,1510,3305,2714,optimal,-472.954137348,9.224e-15,optimal,-472.95413734952575,6.827871422431098e-15,3.219160010239068e-12,0.0453,0.022436857223510742,agree
qrto_l_2,1510,3305,2706,optimal,-473.26203074,1.03e-14,optimal,-473.2620307401927,1.0963452435282479e-14,4.063137621145608e-13,0.0384,0.02286219596862793,agree
qrto_m_0,90,199,166,optimal,-32.4755333866,6.745e-14,optimal,-32.47553339718985,8.326672753849978e-16,3.163459906200204e-10,0.0008,0.0008492469787597656,agree
qrto_m_1,90,199,171,optimal,-32.7046977059,3.195e-13,optimal,-32.70469878908287,5.551115123125783e-16,3.213744388718002e-08,0.0008,0.0006937980651855469,agree
qrto_m_2,90,199,168,optimal,-30.5420973573,1.477e-14,optimal,-30.542097374496358,7.771561172376096e-16,5.451874723081731e-10,0.0009,0.0009784698486328125,agree
qrto_s_0,28,56,47,optimal,-10.1460368392,1.055e-15,optimal,-10.146036839256324,4.996003610813204e-16,5.053181423956398e-12,0.0003,0.00021219253540039062,agree
qrto_s_1,28,56,41,optimal,-8.57139497724,1.887e-15,optimal,-8.571394977250254,1.0824674490095276e-15,1.071226472357308e-12,0.0003,0.0002472400665283203,agree
qrto_s_2,28,56,50,optimal,-8.74802252756,7.097e-13,optimal,-8.748022754896951,3.885780586188048e-16,2.3321339799676897e-08,0.0003,0.00024962425231933594,agree
