name,status,obj,gap,nodes,time
miqlots_m_29.mps,feasible,-36179.9460851,,711,60.005
miqlots_m_3.mps,feasible,-53714.2017934,,31,60.016
miqlots_m_30.mps,feasible,-37249.0749376,,118,60.015
miqlots_m_31.mps,feasible,-39723.7844414,,121,60.025
miqlots_m_32.mps,feasible,-51818.7885535,,579,60.397
miqlots_m_33.mps,feasible,-28374.364485,,6,60.013
miqlots_m_34.mps,feasible,-41335.6750835,,18,60.016
miqlots_m_35.mps,feasible,-36513.951514,,691,60.138
miqlots_m_36.mps,feasible,-35795.3183124,,12,60.014
miqlots_m_37.mps,feasible,-46955.7358858,,541,60.004
miqlots_m_38.mps,feasible,-30948.5290973,,617,60.246
miqlots_m_39.mps,feasible,-52927.2986413,,677,60.005
miqlots_m_4.mps,feasible,-51143.1853249,,569,60.006
miqlots_m_5.mps,feasible,-28706.2905517,,757,60.283
miqlots_m_6.mps,feasible,-40028.2099357,,15,60.018
miqlots_m_7.mps,feasible,-59345.982006,,623,60.004
miqlots_m_8.mps,feasible,-39846.7407491,,570,60.503
miqlots_m_9.mps,feasible,-47195.6816639,,32,60.027
miqlots_s_0.mps,feasible,-15612.2805284,,3,60.049
miqlots_s_1.mps,feasible,-10881.6265943,,6421,60.006
miqlots_s_10.mps,optimal,-16251.2092283,,135,0.006
miqlots_s_11.mps,feasible,-9221.4469986,,116,60.063
miqlots_s_12.mps,feasible,-15573.5761481,,5372,60.013
miqlots_s_13.mps,feasible,-9449.61791493,,34,60.069
miqlots_s_14.mps,optimal,-10082.8661634,,31,0.004
miqlots_s_15.mps,optimal,-12105.103296,,77,0.005
miqlots_s_16.mps,feasible,-8923.8549501,,35,60.082
miqlots_s_17.mps,optimal,-16671.280459,,49,0.007
miqlots_s_18.mps,optimal,-15934.8612279,,59,0.006
miqlots_s_19.mps,feasible,-14299.0361663,,29,60.076
miqlots_s_2.mps,feasible,-9951.31079815,,5121,60.017
miqlots_s_20.mps,feasible,-13205.9757743,,6283,60.010
miqlots_s_21.mps,feasible,-8497.94486755,,68,60.071
miqlots_s_22.mps,feasible,-9278.94601443,,61,60.065
miqlots_s_23.mps,feasible,-9242.76175143,,55,60.049
miqlots_s_24.mps,feasible,-12149.05939,,54,60.088
miqlots_s_25.mps,feasible,-15503.4781045,,4265,60.005
miqlots_s_26.mps,optimal,-12917.273598,,19,0.004
miqlots_s_27.mps,feasible,-17671.3894625,,6009,60.026
miqlots_s_28.mps,optimal,-9220.40959278,,139,0.006
miqlots_s_29.mps,feasible,-10738.7496106,,30,60.080
miqlots_s_3.mps,feasible,-9497.4104734,,6140,60.010
miqlots_s_30.mps,feasible,-10378.5636947,,50,60.031
miqlots_s_31.mps,feasible,-10228.2611489,,6939,60.007
miqlots_s_32.mps,feasible,-14502.2914045,,63,60.121
miqlots_s_33.mps,optimal,-10843.038357,,55,0.005
miqlots_s_34.mps,optimal,-14207.4183341,,65,0.004
miqlots_s_35.mps,feasible,-9880.93488026,,6785,60.016
miqlots_s_36.mps,optimal,-13740.5423828,,29,0.004
miqlots_s_37.mps,optimal,-12787.2866567,,31,0.004
miqlots_s_38.mps,optimal,-8372.51587971,,71,0.004
miqlots_s_39.mps,optimal,-15439.2394949,,43,0.004
miqlots_s_4.mps,optimal,-10043.8819982,,49,0.004
miqlots_s_5.mps,feasible,-9846.97196458,,97,60.059
miqlots_s_6.mps,feasible,-7470.82556931,,21,60.057
miqlots_s_7.mps,optimal,-13148.4520524,,45,0.005
miqlots_s_8.mps,optimal,-14672.6985601,,113,0.007
miqlots_s_9.mps,optimal,-10059.3455252,,13,0.003
miqsmth_m_0.mps,feasible,1408.76991935,,518746,60.003
miqsmth_m_1.mps,feasible,1566.27809237,,533763,60.003
miqsmth_m_10.mps,optimal,1350.58359407,,349101,40.573
miqsmth_m_11.mps,optimal,1357.80659696,,122719,13.683
miqsmth_m_12.mps,feasible,1308.46536862,,555861,60.003
miqsmth_m_13.mps,feasible,1455.71191556,,546294,60.003
miqsmth_m_14.mps,optimal,1490.31099095,,8513,0.990
miqsmth_m_15.mps,optimal,1420.96667572,,231371,24.946
miqsmth_m_16.mps,optimal,1419.60724818,,415805,48.224
miqsmth_m_17.mps,optimal,1439.02262726,,135363,14.752
miqsmth_m_18.mps,feasible,1465.75093757,,543889,60.003
miqsmth_m_19.mps,feasible,1534.95233613,,555358,60.003
miqsmth_m_2.mps,optimal,1625.90268994,,20933,2.422
miqsmth_m_20.mps,feasible,1227.76631513,,553633,60.003
miqsmth_m_21.mps,feasible,1396.84422324,,567130,60.003
miqsmth_m_22.mps,feasible,1458.36082311,,520453,60.004
miqsmth_m_23.mps,optimal,1315.29943562,,196351,23.178
miqsmth_m_24.mps,optimal,1531.7404656,,471069,50.768
miqsmth_m_25.mps,feasible,1540.40889058,,594213,60.003
miqsmth_m_26.mps,feasible,1505.95726167,,533227,60.003
miqsmth_m_27.mps,feasible,1573.45855865,,578200,60.007
miqsmth_m_28.mps,optimal,1239.07244913,,218059,24.164
miqsmth_m_29.mps,feasible,1418.96470625,,580931,60.003
miqsmth_m_3.mps,feasible,1403.3230022,,527027,60.003
miqsmth_m_30.mps,feasible,1426.73192992,,570479,60.003
miqsmth_m_31.mps,optimal,1318.23470848,,123591,14.873
miqsmth_m_32.mps,feasible,1597.71563918,,542748,60.005
miqsmth_m_33.mps,feasible,1356.34146675,,558952,60.003
miqsmth_m_34.mps,optimal,1480.42515758,,11837,1.410
miqsmth_m_35.mps,feasible,1428.51122858,,591193,60.004
miqsmth_m_36.mps,optimal,1357.71731443,,193671,22.848
miqsmth_m_37.mps,optimal,1449.79168514,,250373,26.441
miqsmth_m_38.mps,optimal,1290.29692044,,203345,22.646
miqsmth_m_39.mps,optimal,1492.0607339,,322263,35.995
miqsmth_m_4.mps,feasible,1477.94117979,,514326,60.003
miqsmth_m_5.mps,feasible,1395.27364776,,550486,60.003
miqsmth_m_6.mps,feasible,1235.4510568,,517949,60.003
miqsmth_m_7.mps,feasible,1320.61559954,,516886,60.003
miqsmth_m_8.mps,feasible,1449.43798779,,590244,60.003
miqsmth_m_9.mps,optimal,1290.53547284,,25031,2.890
miqsmth_s_0.mps,optimal,553.440572641,,789,0.043
miqsmth_s_1.mps,optimal,594.317707919,,1215,0.071
miqsmth_s_10.mps,optimal,589.00654509,,1370,0.082
miqsmth_s_11.mps,optimal,490.248782979,,279,0.016
miqsmth_s_12.mps,optimal,550.881543785,,933,0.052
miqsmth_s_13.mps,optimal,590.167439744,,873,0.056
miqsmth_s_14.mps,optimal,604.57816089,,585,0.036
miqsmth_s_15.mps,optimal,655.242191261,,1971,0.116
miqsmth_s_16.mps,optimal,563.269135087,,357,0.024
miqsmth_s_17.mps,optimal,584.132491155,,1741,0.093
miqsmth_s_18.mps,optimal,576.053018591,,153,0.012
miqsmth_s_19.mps,optimal,556.683397311,,267,0.017
miqsmth_s_2.mps,optimal,612.346885331,,339,0.020
miqsmth_s_20.mps,optimal,401.846888125,,147,0.011
miqsmth_s_21.mps,optimal,573.249989057,,725,0.041
miqsmth_s_22.mps,optimal,585.614891419,,615,0.035
miqsmth_s_23.mps,optimal,506.760341068,,79,0.007
miqsmth_s_24.mps,optimal,601.082967561,,65,0.006
miqsmth_s_25.mps,optimal,575.843004077,,171,0.011
miqsmth_s_26.mps,optimal,617.990587787,,2489,0.127
miqsmth_s_27.mps,optimal,591.738613163,,579,0.033
miqsmth_s_28.mps,optimal,435.67277801,,411,0.021
miqsmth_s_29.mps,optimal,514.311876344,,261,0.016
miqsmth_s_3.mps,optimal,515.687112891,,463,0.026
miqsmth_s_30.mps,optimal,545.397035536,,55,0.005
miqsmth_s_31.mps,optimal,548.638323221,,1087,0.055
miqsmth_s_32.mps,optimal,626.707048525,,745,0.044
miqsmth_s_33.mps,optimal,511.181883984,,437,0.027
miqsmth_s_34.mps,optimal,642.631668508,,997,0.060
miqsmth_s_35.mps,optimal,507.247666249,,153,0.011
miqsmth_s_36.mps,optimal,517.146253097,,135,0.010
miqsmth_s_37.mps,optimal,557.712891073,,349,0.020
miqsmth_s_38.mps,optimal,563.964724035,,299,0.019
miqsmth_s_39.mps,optimal,584.509720071,,119,0.010
miqsmth_s_4.mps,optimal,590.300934614,,85,0.007
miqsmth_s_5.mps,optimal,555.791227181,,357,0.022
miqsmth_s_6.mps,optimal,444.99988912,,373,0.022
miqsmth_s_7.mps,optimal,512.061089541,,99,0.008
miqsmth_s_8.mps,optimal,509.682096959,,127,0.009
miqsmth_s_9.mps,optimal,456.689243387,,91,0.007
