name,rows,cols,integers,nnz,igaos_status,igaos_obj,highs_status,highs_obj,rel_diff,igaos_time,highs_time,verdict
bell5,91,104,58,266,feasible,9065322.64336,optimal,8966406.491520002,,301.2618,0.4375491142272949,status differs
dcmulti,290,548,75,1315,optimal,188182.0,optimal,188181.99999999907,4.949026078952313e-15,1.4899,1.4209771156311035,agree
egout,98,141,55,282,optimal,568.1007,optimal,568.1007000000001,1.9976576679947154e-16,0.0402,0.020481586456298828,agree
flugpl,18,18,11,46,optimal,1201500.0,optimal,1201500.0,0.0,0.0695,0.10491514205932617,agree
gesa2,1392,1224,408,5064,optimal,25779856.3717,optimal,25779856.371697918,8.07776880537123e-14,7.2298,0.6310184001922607,agree
gt2,29,188,188,376,feasible,21166.0,optimal,21166.0,,301.1546,0.0525975227355957,status differs
lseu,28,89,89,309,optimal,1120.0,optimal,1120.0000000000498,4.4420013311387695e-14,0.4236,0.24893879890441895,agree
p0548,176,548,548,1711,optimal,8691.0,optimal,8691.0,0.0,0.3645,0.09256315231323242,agree
rgn,24,180,100,460,optimal,82.19999924,optimal,82.19999923999443,6.6954989173622e-14,1.152,0.22402429580688477,agree
